Driver,Team,LapNumber,LapTime,Stint,Compound,TyreLife,Position,Year,GP,Laps,RacePercentage,GP_ci,Length,Abrasion,Traction,Braking,TrackEvo,Grip,Lateral,Downforce,TyreStress,LapTimePerKM
GAS,Toro Rosso,33.0,129.0,2.0,MEDIUM,1.0,16.0,2019,Singapore Grand Prix,61,0.5409836065573771,,,,,,,,,,,
PER,Racing Point,14.0,126.476,2.0,HARD,1.0,17.0,2019,Singapore Grand Prix,61,0.22950819672131148,,,,,,,,,,,
LEC,Ferrari,21.0,127.019,2.0,HARD,1.0,8.0,2019,Singapore Grand Prix,61,0.3442622950819672,,,,,,,,,,,
STR,Racing Point,32.0,126.488,2.0,HARD,1.0,16.0,2019,Singapore Grand Prix,61,0.5245901639344263,,,,,,,,,,,
STR,Racing Point,42.0,135.227,3.0,SOFT,1.0,19.0,2019,Singapore Grand Prix,61,0.6885245901639344,,,,,,,,,,,
MAG,Haas F1 Team,19.0,127.821,2.0,HARD,1.0,14.0,2019,Singapore Grand Prix,61,0.3114754098360656,,,,,,,,,,,
MAG,Haas F1 Team,57.0,134.311,3.0,SOFT,1.0,17.0,2019,Singapore Grand Prix,61,0.9344262295081968,,,,,,,,,,,
ALB,Red Bull Racing,21.0,126.361,2.0,HARD,1.0,11.0,2019,Singapore Grand Prix,61,0.3442622950819672,,,,,,,,,,,
KVY,Toro Rosso,13.0,127.026,2.0,HARD,1.0,18.0,2019,Singapore Grand Prix,61,0.21311475409836064,,,,,,,,,,,
HUL,Renault,2.0,128.475,2.0,HARD,1.0,18.0,2019,Singapore Grand Prix,61,0.03278688524590164,,,,,,,,,,,
RIC,Renault,35.0,133.316,2.0,HARD,1.0,17.0,2019,Singapore Grand Prix,61,0.5737704918032787,,,,,,,,,,,
VER,Red Bull Racing,20.0,126.46,2.0,HARD,1.0,11.0,2019,Singapore Grand Prix,61,0.32786885245901637,,,,,,,,,,,
NOR,McLaren,21.0,129.272,2.0,HARD,1.0,13.0,2019,Singapore Grand Prix,61,0.3442622950819672,,,,,,,,,,,
HAM,Mercedes,27.0,127.49,2.0,HARD,1.0,8.0,2019,Singapore Grand Prix,61,0.4426229508196721,,,,,,,,,,,
VET,Ferrari,20.0,126.109,2.0,HARD,1.0,10.0,2019,Singapore Grand Prix,61,0.32786885245901637,,,,,,,,,,,
RUS,Williams,2.0,139.141,2.0,HARD,1.0,19.0,2019,Singapore Grand Prix,61,0.03278688524590164,,,,,,,,,,,
RAI,Alfa Romeo Racing,16.0,131.933,2.0,HARD,1.0,16.0,2019,Singapore Grand Prix,61,0.26229508196721313,,,,,,,,,,,
BOT,Mercedes,23.0,127.381,2.0,HARD,1.0,9.0,2019,Singapore Grand Prix,61,0.3770491803278688,,,,,,,,,,,
GRO,Haas F1 Team,24.0,130.044,2.0,HARD,1.0,18.0,2019,Singapore Grand Prix,61,0.39344262295081966,,,,,,,,,,,
KUB,Williams,22.0,129.62,2.0,HARD,1.0,19.0,2019,Singapore Grand Prix,61,0.36065573770491804,,,,,,,,,,,
GIO,Alfa Romeo Racing,35.0,128.582,2.0,HARD,1.0,15.0,2019,Singapore Grand Prix,61,0.5737704918032787,,,,,,,,,,,
HAM,Mercedes,29.0,140.177,2.0,SOFT,4.0,1.0,2019,Russian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
BOT,Mercedes,29.0,137.592,2.0,SOFT,4.0,3.0,2019,Russian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
LEC,Ferrari,23.0,117.786,2.0,MEDIUM,1.0,4.0,2019,Russian Grand Prix,53,0.4339622641509434,,,,,,,,,,,
VER,Red Bull Racing,29.0,144.682,2.0,MEDIUM,1.0,4.0,2019,Russian Grand Prix,53,0.5471698113207547,,,,,,,,,,,
ALB,Red Bull Racing,1.0,151.82,1.0,MEDIUM,1.0,18.0,2019,Russian Grand Prix,53,0.018867924528301886,,,,,,,,,,,
SAI,McLaren,22.0,120.836,2.0,MEDIUM,1.0,12.0,2019,Russian Grand Prix,53,0.41509433962264153,,,,,,,,,,,
PER,Racing Point,24.0,121.343,2.0,MEDIUM,1.0,13.0,2019,Russian Grand Prix,53,0.4528301886792453,,,,,,,,,,,
NOR,McLaren,21.0,119.793,2.0,MEDIUM,1.0,13.0,2019,Russian Grand Prix,53,0.39622641509433965,,,,,,,,,,,
MAG,Haas F1 Team,28.0,144.417,2.0,MEDIUM,1.0,7.0,2019,Russian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
HUL,Renault,17.0,124.557,2.0,MEDIUM,1.0,17.0,2019,Russian Grand Prix,53,0.32075471698113206,,,,,,,,,,,
STR,Racing Point,28.0,145.454,2.0,SOFT,1.0,11.0,2019,Russian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
KVY,Toro Rosso,28.0,140.385,2.0,SOFT,1.0,12.0,2019,Russian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
RAI,Alfa Romeo Racing,10.0,117.143,2.0,MEDIUM,10.0,19.0,2019,Russian Grand Prix,53,0.18867924528301888,,,,,,,,,,,
RAI,Alfa Romeo Racing,28.0,143.935,3.0,SOFT,1.0,15.0,2019,Russian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
GAS,Toro Rosso,27.0,141.981,2.0,SOFT,1.0,16.0,2019,Russian Grand Prix,53,0.5094339622641509,,,,,,,,,,,
GIO,Alfa Romeo Racing,28.0,139.208,3.0,MEDIUM,1.0,14.0,2019,Russian Grand Prix,53,0.5283018867924528,,,,,,,,,,,
RIC,Renault,2.0,139.744,2.0,MEDIUM,1.0,19.0,2019,Russian Grand Prix,53,0.03773584905660377,,,,,,,,,,,
GAS,Toro Rosso,19.0,115.704,2.0,MEDIUM,1.0,12.0,2019,Japanese Grand Prix,53,0.3584905660377358,,,,,,,,,,,
PER,Racing Point,20.0,114.627,2.0,MEDIUM,1.0,13.0,2019,Japanese Grand Prix,53,0.37735849056603776,,,,,,,,,,,
PER,Racing Point,42.0,112.784,3.0,SOFT,1.0,11.0,2019,Japanese Grand Prix,53,0.7924528301886793,,,,,,,,,,,
LEC,Ferrari,4.0,121.142,2.0,MEDIUM,1.0,20.0,2019,Japanese Grand Prix,53,0.07547169811320754,,,,,,,,,,,
LEC,Ferrari,26.0,113.364,3.0,SOFT,1.0,12.0,2019,Japanese Grand Prix,53,0.49056603773584906,,,,,,,,,,,
LEC,Ferrari,47.0,115.048,4.0,SOFT,4.0,6.0,2019,Japanese Grand Prix,53,0.8867924528301887,,,,,,,,,,,
STR,Racing Point,19.0,115.171,2.0,MEDIUM,1.0,13.0,2019,Japanese Grand Prix,53,0.3584905660377358,,,,,,,,,,,
MAG,Haas F1 Team,18.0,116.677,2.0,HARD,1.0,18.0,2019,Japanese Grand Prix,53,0.33962264150943394,,,,,,,,,,,
MAG,Haas F1 Team,48.0,117.551,3.0,SOFT,1.0,17.0,2019,Japanese Grand Prix,53,0.9056603773584906,,,,,,,,,,,
ALB,Red Bull Racing,16.0,113.192,2.0,MEDIUM,1.0,10.0,2019,Japanese Grand Prix,53,0.3018867924528302,,,,,,,,,,,
ALB,Red Bull Racing,35.0,113.575,3.0,SOFT,4.0,4.0,2019,Japanese Grand Prix,53,0.660377358490566,,,,,,,,,,,
KVY,Toro Rosso,28.0,115.952,2.0,MEDIUM,1.0,17.0,2019,Japanese Grand Prix,53,0.5283018867924528,,,,,,,,,,,
HUL,Renault,20.0,116.138,2.0,MEDIUM,1.0,12.0,2019,Japanese Grand Prix,53,0.37735849056603776,,,,,,,,,,,
RIC,Renault,30.0,114.884,2.0,SOFT,1.0,11.0,2019,Japanese Grand Prix,53,0.5660377358490566,,,,,,,,,,,
NOR,McLaren,5.0,116.571,2.0,MEDIUM,1.0,20.0,2019,Japanese Grand Prix,53,0.09433962264150944,,,,,,,,,,,
NOR,McLaren,26.0,118.225,3.0,HARD,2.0,17.0,2019,Japanese Grand Prix,53,0.49056603773584906,,,,,,,,,,,
HAM,Mercedes,22.0,113.893,2.0,MEDIUM,1.0,3.0,2019,Japanese Grand Prix,53,0.41509433962264153,,,,,,,,,,,
HAM,Mercedes,43.0,112.303,3.0,SOFT,9.0,3.0,2019,Japanese Grand Prix,53,0.8113207547169812,,,,,,,,,,,
VET,Ferrari,17.0,113.529,2.0,SOFT,1.0,4.0,2019,Japanese Grand Prix,53,0.32075471698113206,,,,,,,,,,,
VET,Ferrari,32.0,112.791,3.0,MEDIUM,1.0,3.0,2019,Japanese Grand Prix,53,0.6037735849056604,,,,,,,,,,,
SAI,McLaren,27.0,114.282,2.0,MEDIUM,1.0,6.0,2019,Japanese Grand Prix,53,0.5094339622641509,,,,,,,,,,,
RUS,Williams,26.0,117.869,2.0,HARD,1.0,18.0,2019,Japanese Grand Prix,53,0.49056603773584906,,,,,,,,,,,
RAI,Alfa Romeo Racing,16.0,117.01,2.0,HARD,1.0,18.0,2019,Japanese Grand Prix,53,0.3018867924528302,,,,,,,,,,,
RAI,Alfa Romeo Racing,37.0,113.786,3.0,SOFT,1.0,17.0,2019,Japanese Grand Prix,53,0.6981132075471698,,,,,,,,,,,
BOT,Mercedes,18.0,111.522,2.0,MEDIUM,1.0,2.0,2019,Japanese Grand Prix,53,0.33962264150943394,,,,,,,,,,,
BOT,Mercedes,37.0,112.033,3.0,SOFT,4.0,2.0,2019,Japanese Grand Prix,53,0.6981132075471698,,,,,,,,,,,
GRO,Haas F1 Team,17.0,114.853,2.0,HARD,1.0,17.0,2019,Japanese Grand Prix,53,0.32075471698113206,,,,,,,,,,,
KUB,Williams,1.0,109.502,1.0,MEDIUM,1.0,20.0,2019,Japanese Grand Prix,53,0.018867924528301886,,,,,,,,,,,
KUB,Williams,23.0,123.231,2.0,HARD,1.0,19.0,2019,Japanese Grand Prix,53,0.4339622641509434,,,,,,,,,,,
KUB,Williams,34.0,117.831,3.0,MEDIUM,1.0,19.0,2019,Japanese Grand Prix,53,0.6415094339622641,,,,,,,,,,,
GIO,Alfa Romeo Racing,19.0,117.415,2.0,HARD,1.0,16.0,2019,Japanese Grand Prix,53,0.3584905660377358,,,,,,,,,,,
GIO,Alfa Romeo Racing,50.0,114.24,3.0,SOFT,1.0,16.0,2019,Japanese Grand Prix,53,0.9433962264150944,,,,,,,,,,,
HAM,Mercedes,24.0,98.903,2.0,HARD,1.0,4.0,2019,Mexican Grand Prix,71,0.3380281690140845,,,,,,,,,,,
VET,Ferrari,38.0,99.411,2.0,HARD,1.0,4.0,2019,Mexican Grand Prix,71,0.5352112676056338,,,,,,,,,,,
BOT,Mercedes,37.0,99.51,2.0,HARD,1.0,5.0,2019,Mexican Grand Prix,71,0.5211267605633803,,,,,,,,,,,
LEC,Ferrari,16.0,99.492,2.0,MEDIUM,1.0,4.0,2019,Mexican Grand Prix,71,0.22535211267605634,,,,,,,,,,,
LEC,Ferrari,44.0,102.587,3.0,HARD,1.0,5.0,2019,Mexican Grand Prix,71,0.6197183098591549,,,,,,,,,,,
